virus_batch_number,virus_shortname,target_organism_name,target_organism_taxonomy_id,isolate_name,gisaid_id,nucleotide_db_id,pango_lineage,who_label,gisaid_clade,virus_sample_source,virus_sample_source_url,virus_source,virus_location,virus_sample_type,virus_sample_inactivation_method,virus_sample_formulation,virus_sample_concentration,virus_sample_concentration_unit,virus_sample_concentration_reference_gene,virus_sample_genome_equivalents,virus_sample_genome_equivalents_unit,virus_sample_genome_equivalents_reference_gene,virus_preinactivation_tcid50,virus_preinactivation_tcid50_unit,virus_sample_grow_cell_line
WA1-HTI-002,WA.1,SARS-CoV-2,2697049,hCoV-19/USA/WA1/2020,EPI_ISL_404895,MT576563.1,A,,S,UCSD,https://www.radxrad.org/,https://www.beiresources.org/,"Seattle, WA, USA",inactivated virus,heat,DMEM + 1% FBS + 10mM HEPES + 50 units/ml Penicillin and 50 µg/ml Streptomycin,5.04E+10,copies/mL,N,2.12E+10,copies/mL,ORF1a,1.83E+06,TCID50/mL,Caco2
WA1-UVI-002,WA.1,SARS-CoV-2,2697049,hCoV-19/USA/WA1/2020,EPI_ISL_404895,MT576563.1,A,,S,UCSD,https://www.radxrad.org/,https://www.beiresources.org/,"Seattle, WA, USA",inactivated virus,UV,DMEM + 1% FBS + 10mM HEPES + 50 units/ml Penicillin and 50 µg/ml Streptomycin,1.32E+09,copies/mL,N,3.02E+08,copies/mL,ORF1a,1.83E+06,TCID50/mL,Caco2
WA1-UVI-003,WA.1,SARS-CoV-2,2697049,hCoV-19/USA/WA1/2020,EPI_ISL_404895,MT576563.1,A,,S,UCSD,https://www.radxrad.org/,https://www.beiresources.org/,"Seattle, WA, USA",inactivated virus,UV,DMEM + 3% FBS + 30 units/ml Penicillin and 30 µg/ml Streptomycin ,7.90E+08,copies/mL,N,1.74E+08,copies/mL,ORF1a,2.25E+06,TCID50/mL,TMPRSS2-VeroE6
WA1-UVI-006,WA.1,SARS-CoV-2,2697049,hCoV-19/USA/WA1/2020,EPI_ISL_404895,MT576563.1,A,,S,UCSD,https://www.radxrad.org/,https://www.beiresources.org/,"Seattle, WA, USA",inactivated virus,UV,DMEM + 3% FBS + 30 units/ml Penicillin and 30 µg/ml Streptomycin ,5.68E+08,copies/mL,N,1.30E+08,copies/mL,ORF1a,1.45E+07,TCID50/mL,TMPRSS2-VeroE6
B.1.1.7-HTI-002,B.1.1.7,SARS-CoV-2,2697049,hCoV-19/USA/CA_UCSD_5574/2020,EPI_ISL_751801,,B.1.1.7,Alpha,GRY,UCSD,https://www.radxrad.org/,UCSD Center for Advanced Laboratory Medicine,"San Diego, CA, USA",inactivated virus,heat,DMEM + 3% FBS + 30 units/ml Penicillin and 30 µg/ml Streptomycin ,4.10E+09,copies/mL,N,2.40E+09,copies/mL,ORF1a,2.25E+06,TCID50/mL,TMPRSS2-VeroE6
B.1.1.7-UVI-002,B.1.1.7,SARS-CoV-2,2697049,hCoV-19/USA/CA_UCSD_5574/2020,EPI_ISL_751801,,B.1.1.7,Alpha,GRY,UCSD,https://www.radxrad.org/,UCSD Center for Advanced Laboratory Medicine,"San Diego, CA, USA",inactivated virus,UV,DMEM + 3% FBS + 30 units/ml Penicillin and 30 µg/ml Streptomycin ,3.92E+08,copies/mL,N,1.52E+08,copies/mL,ORF1a,2.25E+06,TCID50/mL,TMPRSS2-VeroE6
BA.1-HTI-001,BA.1,SARS-CoV-2,2697049,hCoV-19/USA/CA-SEARCH-59467/2021,EPI_ISL_8186377,,BA.1,Omicron,GRA,UCSD,https://www.radxrad.org/,UCSD Center for Advanced Laboratory Medicine,"San Diego, CA, USA",inactivated virus,heat,DMEM + 3% FBS + 30 units/ml Penicillin and 30 µg/ml Streptomycin ,5.48E+09,copies/mL,N,2.71E+09,copies/mL,ORF1a,9.28E+05,TCID50/mL,TMPRSS2-VeroE6
BA.1-UVI-001,BA.1,SARS-CoV-2,2697049,hCoV-19/USA/CA-SEARCH-59467/2021,EPI_ISL_8186377,,BA.1,Omicron,GRA,UCSD,https://www.radxrad.org/,UCSD Center for Advanced Laboratory Medicine,"San Diego, CA, USA",inactivated virus,UV,DMEM + 3% FBS + 30 units/ml Penicillin and 30 µg/ml Streptomycin ,2.88E+08,copies/mL,N,6.60E+07,copies/mL,ORF1a,9.28E+05,TCID50/mL,TMPRSS2-VeroE6
B.1.621-HTI-001,B.1.621,SARS-CoV-2,2697049,hCoV-19/USA/CA-SEARCH-47044/2021,EPI_ISL_3936949,,B.1.621,Mu,GH,UCSD,https://www.radxrad.org/,UCSD Center for Advanced Laboratory Medicine,"San Diego, CA, USA",inactivated virus,heat,DMEM + 3% FBS + 30 units/ml Penicillin and 30 µg/ml Streptomycin ,1.37E+10,copies/mL,N,1.03E+10,copies/mL,ORF1a,1.73E+07,TCID50/mL,TMPRSS2-VeroE6
B.1.621-UVI-001,B.1.621,SARS-CoV-2,2697049,hCoV-19/USA/CA-SEARCH-47044/2021,EPI_ISL_3936949,,B.1.621,Mu,GH,UCSD,https://www.radxrad.org/,UCSD Center for Advanced Laboratory Medicine,"San Diego, CA, USA",inactivated virus,UV,DMEM + 3% FBS + 30 units/ml Penicillin and 30 µg/ml Streptomycin ,9.50E+08,copies/mL,N,2.94E+08,copies/mL,ORF1a,1.73E+07,TCID50/mL,TMPRSS2-VeroE6
BA.2.3-HTI-001,BA.2.3,SARS-CoV-2,2697049,hCoV-19/USA/CA-SEARCH-85496/2022,EPI_ISL_14225346,,BA.2.3,Omicron,GRA,UCSD,https://www.radxrad.org/,UCSD Center for Advanced Laboratory Medicine,"San Diego, CA, USA",inactivated virus,heat,DMEM + 3% FBS + 30 units/ml Penicillin and 30 µg/ml Streptomycin ,,copies/mL,N,,copies/mL,ORF1a,2.12E+04,TCID50/mL,TMPRSS2-VeroE6
BA.2.3-HTI-001,,SARS-CoV-2,,,,,,,,,,,"San Diego, CA, USA",,heat,,,copies/mL,N,,copies/mL,ORF1a,,TCID50/mL,
BA.1-UVI-002,BA.1,SARS-CoV-2,2697049,hCoV-19/USA/CA-SEARCH-59467/2021,EPI_ISL_8186377,,BA.1,Omicron,GRA,UCSD,https://www.radxrad.org/,UCSD Center for Advanced Laboratory Medicine,"San Diego, CA, USA",inactivated virus,UV,MEM + 2% FBS + 30 units/ml Penicillin and 30 µg/ml Streptomycin ,3.80E+08,copies/mL,N,6.60E+07,copies/mL,ORF1a,1.20E+06,TCID50/mL,Calu-3
BA.2.12.1-UVI-001,BA.2.12.1,SARS-CoV-2,2697049,hCoV- 19/USA/CA-CFAR-033515/2022,EPI_ISL_14225347,,BA.2.12.1,Omicron,GRA,UCSD,https://www.radxrad.org/,UCSD Lab of Davey Smith,"San Diego, CA, USA",inactivated virus,UV,DMEM + 2% FBS + 50 units/ml Penicillin and 50 µg/ml Streptomycin,1.23E+09,copies/mL,N,4.80E+08,copies/mL,ORF1a,1.26E+07,TCID50/mL,TMPRSS2-VeroE6
BA.2.12.1-HTI-001,BA.2.12.1,SARS-CoV-2,2697049,hCoV- 19/USA/CA-CFAR-033515/2022,EPI_ISL_14225347,,BA.2.12.1,Omicron,GRA,,https://www.radxrad.org/,UCSD Lab of Davey Smith,"San Diego, CA, USA",inactivated virus,heat,,,copies/mL,N,,copies/mL,ORF1a,,,
BA.4.1-UVI-001,BA.4.1,SARS-CoV-2,2697049,hCoV-19/USA/CA-SEARCH-89307/2022,,,BA.4.1,Omicron,GRA,UCSD,https://www.radxrad.org/,UCSD Center for Advanced Laboratory Medicine,"San Diego, CA, USA",inactivated virus,UV,DMEM + 2% FBS + 10mM HEPES + 50 units/ml Penicillin and 50 µg/ml Streptomycin,,copies/mL,N,,copies/mL,ORF1a,4.65E+06,FFU/mL,TMPRSS2-VeroE6
BA.4.1-HTI-001,BA.4.1,SARS-CoV-2,2697049,hCoV-19/USA/CA-SEARCH-89307/2022,,,BA.4.1,Omicron,GRA,UCSD,https://www.radxrad.org/,UCSD Center for Advanced Laboratory Medicine,"San Diego, CA, USA",inactivated virus,heat,DMEM + 2% FBS + 10mM HEPES + 50 units/ml Penicillin and 50 µg/ml Streptomycin,,copies/mL,N,,copies/mL,ORF1a,,,
BA.5.1-UVI-001,BA.5.1,SARS-CoV-2,2697049,hCoV- 19/USA/CA-CFAR-033518/2022,EPI_ISL_14243842,,BA.5.1,Omicron,GRA,UCSD,https://www.radxrad.org/,UCSD Lab of Aaron Carlin,"San Diego, CA, USA",inactivated virus,UV,DMEM + 2% FBS + 50 units/ml Penicillin and 50 µg/ml Streptomycin,1.74E+08,copies/mL,N,9.80E+07,copies/mL,ORF1a,2.73E+07,,TMPRSS2-VeroE6
BA.5.1-HTI-001,BA.5.1,SARS-CoV-2,2697049,hCoV- 19/USA/CA-CFAR-033518/2022,EPI_ISL_14243842,,BA.5.1,Omicron,GRA,UCSD,https://www.radxrad.org/,UCSD Lab of Aaron Carlin,"San Diego, CA, USA",inactivated virus,heat,DMEM + 2% FBS + 50 units/ml Penicillin and 50 µg/ml Streptomycin,2.78E+09,copies/mL,N,2.06E+09,copies/mL,ORF1a,2.73E+07,,TMPRSS2-VeroE6
BF.7-UVI-001,BF.7,SARS-CoV-2,2697049,hCoV-19/USA/CA-SEARCH-205906/2022,EPI_ISL_15462983,,BF.7,Omicron,GRA,UCSD,https://www.radxrad.org/,UCSD Center for Advanced Laboratory Medicine,"San Diego, CA, USA",inactivated virus,UV,DMEM + 2% FBS + 10mM HEPES + 50 units/ml Penicillin and 50 µg/ml Streptomycin,1.60E+08,copies/mL,N,1.08E+08,copies/mL,ORF1a,,,TMPRSS2-VeroE6
BF.7-HTI-001,BF.7,SARS-CoV-2,2697049,hCoV-19/USA/CA-SEARCH-205906/2022,EPI_ISL_15462983,,BF.7,Omicron,GRA,UCSD,https://www.radxrad.org/,UCSD Center for Advanced Laboratory Medicine,"San Diego, CA, USA",inactivated virus,heat,DMEM + 2% FBS + 10mM HEPES + 50 units/ml Penicillin and 50 µg/ml Streptomycin,,copies/mL,N,,copies/mL,ORF1a,,,TMPRSS2-VeroE6
BQ.1-UVI-001,BQ.1,SARS-CoV-2,2697049,hCoV-19/USA/CA-SEARCH-212968/2022,EPI_ISL_16102433,,BQ.1,Omicron,GRA,UCSD,https://www.radxrad.org/,UCSD Center for Advanced Laboratory Medicine,"San Diego, CA, USA",inactivated virus,UV,DMEM + 2% FBS + 10mM HEPES + 50 units/ml Penicillin and 50 µg/ml Streptomycin,3.06E+08,copies/mL,N,1.90E+08,copies/mL,ORF1a,,,TMPRSS2-VeroE6
BQ.1-HTI-001,BQ.1,SARS-CoV-2,2697049,hCoV-19/USA/CA-SEARCH-212968/2022,EPI_ISL_16102433,,BQ.1,Omicron,GRA,UCSD,https://www.radxrad.org/,UCSD Center for Advanced Laboratory Medicine,"San Diego, CA, USA",inactivated virus,heat,DMEM + 2% FBS + 10mM HEPES + 50 units/ml Penicillin and 50 µg/ml Streptomycin,3.84E+09,copies/mL,N,3.39E+09,copies/mL,ORF1a,,,TMPRSS2-VeroE6
B.1.617.2-UVI-002,B.1.617.2,SARS-CoV-2,2697049,hCoV-19/USA/PHC658/2021,,,B.1.617.2,Delta,GK,UCSD,https://www.radxrad.org/,https://www.beiresources.org/Catalog/animalviruses/NR-55611.aspx,,inactivated virus,UV,DMEM + 3% FBS + 30 units/ml Penicillin and 30 µg/ml Streptomycin ,1.32E+08,copies/mL,N,8.20E+07,copies/mL,ORF1a,8.75E+06,,TMPRSS2-VeroE6
XBB.1.5-HTI-001,XBB.1.5,SARS-CoV-2,2697049,hCoV-19/USA/CA-SEARCH-221363/2022,EPI_ISL_16756844,,XBB.1.5,Omicron,GRA,UCSD,https://www.radxrad.org/,UCSD Center for Advanced Laboratory Medicine,"San Diego, CA, USA",inactivated virus,heat,DMEM + 2% FBS + 10mM HEPES + 50 units/ml Penicillin and 50 µg/ml Streptomycin,,copies/mL,N,,copies/mL,ORF1a,,,TMPRSS2-VeroE6
XBB.1.5-UVC-001,XBB.1.5,SARS-CoV-2,2697049,hCoV-19/USA/CA-SEARCH-221363/2022,EPI_ISL_16756844,,XBB.1.5,Omicron,GRA,UCSD,https://www.radxrad.org/,UCSD Center for Advanced Laboratory Medicine,"San Diego, CA, USA",inactivated virus,UV,DMEM + 2% FBS + 10mM HEPES + 50 units/ml Penicillin and 50 µg/ml Streptomycin,2.44E+08,copies/mL,N,6.60E+07,copies/mL,ORF1a,,,TMPRSS2-VeroE6
WA1-UVI-007,WA1,SARS-CoV-2,2697049,hCoV-19/USA/WA1/2020,EPI_ISL_404895,MT576563.1,A,,S,,https://www.radxrad.org/,https://www.beiresources.org/,"Seattle, WA, USA",inactivated virus,UV,DMEM + 2% FBS + 10mM HEPES + 50 units/ml Penicillin and 50 µg/ml Streptomycin,5.42E+08,copies/mL,N,2.14E+08,copies/mL,ORF1a,,,TMPRSS2-VeroE6
BA.1.20-UVI-003,BA.1.20,SARS-CoV-2,2697049,hCoV-19/USA/CA-SEARCH-59467/2021,EPI_ISL_8186377,,BA.1.20,Omicron,GRA,UCSD,https://www.radxrad.org/,UCSD Center for Advanced Laboratory Medicine,"San Diego, CA, USA",inactivated virus,UV,DMEM + 2% FBS + 10mM HEPES + 50 units/ml Penicillin and 50 µg/ml Streptomycin,6.16E+08,copies/mL,N,2.78E+08,copies/mL,ORF1a,,,TMPRSS2-VeroE6
,,,,,,,,,,,,,,,,,,,,,,,,,
CoV229E-HTI-001,CoV229E,Human coronavirus 229E,11137,229E,,,,,,UCSD,https://www.radxrad.org/,https://www.atcc.org/,"Atlanta, GA, USA",inactivated virus,heat,MEM; 10%FBS; 1%pen/strep; 1%HEPES,1.57E+08,copies/mL,M,,,,1.20E+05,PFU/mL,MRC-5
CoV229E-UVI-001,CoV229E,Human coronavirus 229E,11137,229E,,,,,,UCSD,https://www.radxrad.org/,https://www.atcc.org/,"Atlanta, GA, USA",inactivated virus,UV,MEM; 10%FBS; 1%pen/strep; 1%HEPES,4.37E+08,copies/mL,M,,,,1.20E+05,PFU/mL,MRC-5
CoVOC43-HTI-001,CoVOC43,Human coronavirus OC43,31631,OC43,AY585228,,,,,UCSD,https://www.radxrad.org/,https://www.atcc.org/,"Madison, WI, USA",inactivated virus,heat,RPMI + 2% Horse serum + 1% pen/strep,1.59E+09,copies/mL,M,,,,7.10E+04,PFU/mL,HCT-8
CoVOC43-UVI-001,CoVOC43,Human coronavirus OC43,31631,OC43,AY585228,,,,,UCSD,https://www.radxrad.org/,https://www.atcc.org/,"Madison, WI, USA",inactivated virus,UV,RPMI + 2% Horse serum + 1% pen/strep,2.49E+08,copies/mL,M,,,,7.10E+04,PFU/mL,HCT-8
RSVA-HTI-001,RSVA,RSV A2,11259,A2,KT992094,,,,,UCSD,https://www.radxrad.org/,https://www.atcc.org/,"Melbourne, Australia",inactivated virus,heat,DMEM + 2% FBS + 1%Pen/Strep,7.64E+08,copies/mL,N,,,,5.20E+05,PFU/mL,HeLa
RSVA-UVI-001,RSVA,RSV A2,11259,A2,KT992094,,,,,UCSD,https://www.radxrad.org/,https://www.atcc.org/,"Melbourne, Australia",inactivated virus,UV,DMEM + 2% FBS + 1%Pen/Strep,3.58E+08,copies/mL,N,,,,5.20E+05,PFU/mL,HeLa
RSVB-HTI-001,RSVB,RSV B,11251,CH-18537,JX198143,,,,,UCSD,https://www.radxrad.org/,https://www.atcc.org/,"Washington D.C., USA",inactivated virus,heat,MEM + 2% FBS + 1% GlutaMax + 1% pen/strep,1.60E+10,copies/mL,N,,,,4.00E+05,PFU/mL,HEp-2
RSVB-UVI-001,RSVB,RSV B,11251,CH-18537,JX198143,,,,,UCSD,https://www.radxrad.org/,https://www.atcc.org/,"Washington D.C., USA",inactivated virus,UV,MEM + 2% FBS + 1% GlutaMax + 1% pen/strep,2.40E+09,copies/mL,N,,,,4.00E+05,PFU/mL,HEp-2
IA(H3N2)-HTI-001,IA(H3N2),Influenza A virus H3N2,41857,A/California/2/2014,,,,,,UCSD,https://www.radxrad.org/,https://www.atcc.org/,"California, USA",inactivated virus,heat,DMEM + 0.5% BSA + 1% pen/strep + 2ug/ml TPCK-trypsin,3.26E+08,copies/mL,M,,,,2.50E+04,PFU/mL,MDCK
IA(H3N2)-UVI-001,IA(H3N2),Influenza A virus H3N2,41857,A/California/2/2014,,,,,,UCSD,https://www.radxrad.org/,https://www.atcc.org/,"California, USA",inactivated virus,UV,DMEM + 0.5% BSA + 1% pen/strep + 2ug/ml TPCK-trypsin,2.78E+08,copies/mL,M,,,,2.50E+04,PFU/mL,MDCK
IA(H1N1)-HTI-001,IA(H1N1),Influenza A virus H1N1,1323429,A/WS/33,DQ508905,,,,,UCSD,https://www.radxrad.org/,https://www.atcc.org/,"Washington D.C., USA",inactivated virus,heat,DMEM + 0.5% BSA + 1% pen/strep + 2ug/ml TPCK-trypsin,4.52E+08,copies/mL,M,,,,2.00E+06,PFU/mL,MDCK
IA(H1N1)-UVI-001,IA(H1N1),Influenza A virus H1N1,1323429,A/WS/33,DQ508905,,,,,UCSD,https://www.radxrad.org/,https://www.atcc.org/,"Washington D.C., USA",inactivated virus,UV,DMEM + 0.5% BSA + 1% pen/strep + 2ug/ml TPCK-trypsin,1.05E+08,copies/mL,M,,,,2.00E+06,PFU/mL,MDCK
IB(2009)-HTI-001,IB(2009),Influenza B virus,656883,B/Virginia/ATCC4/2009,GQ451540,,,,,UCSD,https://www.radxrad.org/,https://www.atcc.org/,"Virginia, USA",inactivated virus,heat,DMEM + 0.5% BSA + 1% pen/strep + 2ug/ml TPCK-trypsin,2.33E+09,copies/mL,M,,,,2.25E+06,PFU/mL,MDCK
IB(2009)-UVI-001,IB(2009),Influenza B virus,656883,B/Virginia/ATCC4/2009,GQ451540,,,,,UCSD,https://www.radxrad.org/,https://www.atcc.org/,"Virginia, USA",inactivated virus,UV,DMEM + 0.5% BSA + 1% pen/strep + 2ug/ml TPCK-trypsin,1.10E+08,copies/mL,M,,,,2.25E+06,PFU/mL,MDCK
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
NR-52286-70033548,,SARS-CoV-2,2697049,hCoV-19/USA/WA1/2020,EPI_ISL_404895,MN985325.1,A,,S,BEI Resources,https://www.beiresources.org/Catalog/BEIInactivatedOrganisms/NR-52286.aspx,,,inactivated virus,heat,clarified and diluted cell lysate and supernatant from Vero E6 cells,,,,1.16E+09,copies/mL,,1.60E+05,TCID50/mL,Vero E6
NR-52286-70034991,,SARS-CoV-2,2697049,hCoV-19/USA/WA1/2020,EPI_ISL_404895,MN985325.1,A,,S,BEI Resources,https://www.beiresources.org/Catalog/BEIInactivatedOrganisms/NR-52286.aspx,,,inactivated virus,heat,clarified and diluted cell lysate and supernatant from Vero E6 cells,,,,3.75E+08,copies/mL,,1.60E+05,TCID50/mL,Vero E6
NR-52287-70033322,,SARS-CoV-2,2697049,hCoV-19/USA/WA1/2020,EPI_ISL_404895,MN985325.1,A,,S,BEI Resources,https://www.beiresources.org/Catalog/BEIInactivatedOrganisms/NR-52287.aspx,,,inactivated virus,Gamma-irradiated,sonicated cell lysate and supernatant  from Vero E6 cells,,,,1.70E+09,copies/mL,,2.80E+05,TCID50/mL,Vero E6
NR-55245-70043111,,SARS-CoV-2,2697049,SARS-CoV-2/human/USA/CA_CDC_5574/2020,EPI_ISL_751801,OK244698.1/MW981411.1,B.1.1.7,Alpha,GRY,BEI Resources,https://www.beiresources.org/Catalog/BEIInactivatedOrganisms/NR-55245.aspx,,,inactivated virus,heat,clarified and diluted cell lysate and supernatant from Vero E6 cells,,,,3.24E+08,copies/mL,,5.00E+04,TCID50/mL,Vero E6
NR-52370-70036595,,SARS-CoV-2,2697049,Germany/BavPat1/2020,EPI_ISL_406862,MT270101,B,,G,BEI Resources,https://www.beiresources.org/Catalog/animalviruses/NR-52370.aspx,,"Bavaria, Germany",live virus,,cell lysate and supernatant from Cercopithecus aethiops kidney cells,,,,,,,2.80E+06,TCID50/mL,Vero E6
NR-55611-70045238,,SARS-CoV-2,2697049,hCoV-19/USA/PHC658/2021,EPI_ISL_6344510,,B.1.617.2,Delta,GK,BEI Resources,https://www.beiresources.org/Catalog/animalviruses/NR-55611.aspx,,"Memphis, TN, USA",live virus,,spin-clarified cell lysate and supernatant from Homo sapiens lung adenocarcinoma epithelial cells (Calu-3),is concentration of original sample available?,,,,,,6.50E+05,TCID50/mL,Calu-3
NR-56461-70049434,,SARS-CoV-2,2697049,hCoV-19/USA/MD-HP20874/2021,EPI_ISL_7160424,,B.1.1.529,Omicron,GRA,BEI Resources,https://www.beiresources.org/Catalog/animalviruses/NR-56461.aspx,,"Maryland, USA",live virus,,spin-clarified cell lysate and supernatant from Homo sapiens lung adenocarcinoma epithelial cells (Calu-3),is concentration of original sample available?,,,,,,4.40E+05,TCID50/mL,Calu-3
10100374,IAVH1N1,Influenza A virus H1N1,1323429,PR/8/34,,,,,,Charles River Laboratories,https://uploads-ssl.webflow.com/63924731bbe39413accf7178/639b41ff4a626fedf195fc57_avsbio-catalog-2023.pdf,Charles River Laboratories,,inactivated virus,UV,"allantoic fluid, gradient purified",2,mg/mL,,,,,,,
